name,Latitude,Longitude
RLKC Hospital,28.6510947,77.1546934
Rohan Hospital,28.629752,77.002263
Rosewood Hospital,28.610136,76.992631
Rural Medical Centre,28.5158966,77.1965361
Sabharwal Hospital,28.6443841,77.2385497
Sai Charitable Dispensary & Nursing Home,28.6893425,77.3003113
Sai Drishti Maternity Centre,28.7313713,77.1251957
Sai Nursing Home,28.621501,77.081707
sai nursing home,28.61322798,77.3232887
Saint soham hospital private,28.7983668,77.0352715
Saint Stephen's Hospital,28.66615401,77.21415727
Saket City Hospital,28.52742505,77.21426656
Sama Hospital,28.5544846,77.2270262
Samarpan Multispeciality Hospital,28.8427173,77.0884491
Sanchet Hospital,28.6700151,77.0885037
Sanjay Gandhi Memorial Hospital,28.69402909,77.0803565
Sanjay Gandi Hospital,28.6337619,77.1700493
Sanjeevan Hospital,28.6412816,77.2429413
Sanjeevan Surgical Centre,28.6992877,77.0962764
Sanjeevani Hospital,28.851102,77.085381
Sanjeevani Maternity & Children Hospital,28.6222392,77.0390502
Sanjeevni Hospital,28.54422012,77.29531261
Sanjevani Hospital,28.6052388,76.9874092
Sanjivani Gynec & Children Hospital,28.6242925,77.0390494
Sanjivani Hospital,28.674249,77.0502678
Sanjivini Nursing Home,28.6814911,77.2007198
Sankhwar Hospital,28.6151295,77.3237989
Sant Nirankari Health City (SNHC),28.7242334,77.2028697
Sant Nirankari Health City (SNHC),28.72391642,77.20224339
Sant Parmanand Hospital,28.66319333,77.23781405
Sant Parmanand Hospital,28.67774909,77.22422104
Sant Soham Hospital,28.7974008,77.033424
Sant Soham Hospital,28.73558817,77.11295498
Santom Hospital,28.7140205,77.1383483
Santosh Hospital,28.6789124,77.0502929
Saral Diagnostics,28.6944136,77.1287968
Saransh Hospital,28.6887151,77.1324657
Saras Hospital,28.4871984,77.3124513
Saraswati Hospital and Laproscopic Centre,28.626424,77.009835
Sardar Vallabh Bhai Patel Hospital,28.647023,77.16905321
Saroj Hospital,28.7061564,77.1290461
Saroj Medical Institute,28.7340712,77.1390604
Satya Multi Speciality Hospital,28.6268253,77.039392
Satyabhama Hospital,28.6769478,77.0634761
Satyam Medical Centre,28.5412998,77.1864475
Satyawadi Raja Harish Chander Hospital,28.840596,77.1032565
Savera Hospital,28.6884962,77.1222079
Savitri Hospital,28.686033,77.1471281
Savitri Hospital,28.7353344,77.0128194
Sawan Neelu Angel's Multispeciality Hospital,28.522116,77.215201
Sawan Neelu Angel's Multispeciality Hospital,28.52210355,77.2151007
SCI International Hospital,28.5498881,77.23402593
SCI IVF Hospital,28.5495245,77.2337844
Sehgal Neo Hospital,28.658057,77.09143
Shakuntla Nursing Home Sagarpur,28.6081283,77.0952919
Shamsi Clinic,28.53032414,77.21403348
Shankar Hospital,28.62810488,77.07258581
Shanti Kumud Hospital,28.7176383,77.1701132
Shanti Medical Centre,28.619157,77.2855408
Shanti Mohan Hospital,28.852043,77.082868
Shanti Mukund Hospital,28.6457448,77.3017216
Shanti Nursing Home,28.6190345,77.2856275
shanti nursing home LLP,28.6779567,77.2825741
Sharma Medical Center,28.6494565,77.209831
Sharp Sight Center,28.6403964,77.2934473
Shiv Jivodaya Janta Hospital,28.844519,77.087491
Shradha Multi Speciality Hospital,28.856633,77.088436
Shree Balaji Action Medical Hospital,28.6739251,77.1105496
Shree Balaji Hospital,28.7985051,77.0352927
Shree Dhanvantri Hospital,28.6121179,76.9756046
Shree Hospital,28.5982541,77.041201
Shree Jeewan Hospital,28.6579998,77.1943948
Shri Dada Dev Matri Avum Shishu Chikitsalaya,28.60986052,77.08228615
Shri Mahant Gurmukh Singhji Charitable Hospital,28.6739475,77.1352525
Shri Multan Sewa Samiti Eye Care Hospital,28.6942651,77.1302581
Shri Ram Singh Hospital,28.6605443,77.2875908
Shri Sanjivani Hospital,28.6080273,76.9857721
Shubh Nursing Home,28.635346,77.0566637
Silver Line Nursing Home,28.6228036,77.2959726
Singhal Hospital Palam Colony,28.5882997,77.0887312
Sinha Hospital,28.6124178,76.9931022
Sir Ganga Ram Hospital,28.63848505,77.18964967
Sir Ganga Ram Kolmet Hospital,28.643492,77.187296
SITE,28.5764608,77.0675724
SITE BOUNDARY,28.57678418,77.06758543
Skylife Multispeciality Hospital,28.7497815,77.1430972
Sodhi Nursing Home and ENT Hospital,28.6702118,77.087877
Somdatt Medical,28.6293605,77.276622
Sona Maternity and Nursing Home,28.6656992,77.2906128
Sonia Hospital,28.682627,77.0524348
Sparsh Mother & child care hospital,28.6801482,77.1945449
SR Krishna Hospital,28.61641,77.047023
SRG Hospital,28.6496187,77.0296634
SRG Speciality Hospital,28.6706849,77.1794945
Sri Guru Nanak Charitable Hospital,28.629893,77.146723
st. stephen hospital,28.6939954,77.3171197
Sudarshan Hospital,28.845479,77.089664
Sujan Mohinder Singh Hospital,28.5629027,77.2685753
Sukhda Hospital,28.5469254,77.2445375
Sukhmani Hospital,28.5597233,77.2005001
Sumiti Vishal Charitable Hospital,28.6137065,77.044482
Sumitra Hospital,28.6734516,77.1240716
Sunand Hospital & IVF Centre,28.618746,77.0480879
Sunder Lal Jain Eye Hospital,28.6495013,77.2098206
Sunil Hospital and Nursing Home,28.5358718,77.2091623
Sunil Memorial Nursing Home,28.5873313,77.0846422
Sunrise Healthcare Centre,28.5452411,77.3001922
Sunrise Hospital,28.730694,77.133406
"Sunrise Hospital, Faridabad",28.5769233,77.2660263
Surbhi hospital,28.6491348,77.2164415
Surya hospital,28.66301315,77.28580584
Surya Kiran Hospital,28.6138396,76.9923106
